,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(prop),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(prop),Final U/Th_mean,Approx_U_PPM_mean,Approx_Th_PPM_mean,Approx_Pb_PPM_mean,,Si29_ppm_mean,Si29_ppm_2SE(int),Ti49_ppm_mean,Ti49_ppm_2SE(int),Zr90_ppm_mean,Zr90_ppm_2SE(int),Zr91_ppm_mean,Zr91_ppm_2SE(int),La139_ppm_mean,La139_ppm_2SE(int),Ce140_ppm_mean,Ce140_ppm_2SE(int),Pr141_ppm_mean,Pr141_ppm_2SE(int),Nd146_ppm_mean,Nd146_ppm_2SE(int),Sm147_ppm_mean,Sm147_ppm_2SE(int),Eu153_ppm_mean,Eu153_ppm_2SE(int),Gd157_ppm_mean,Gd157_ppm_2SE(int),Dy163_ppm_mean,Dy163_ppm_2SE(int),Yb172_ppm_mean,Yb172_ppm_2SE(int),Lu175_ppm_mean,Lu175_ppm_2SE(int),Pb204_ppm_mean,Pb204_ppm_2SE(int),Pb206_ppm_mean,Pb206_ppm_2SE(int),Pb207_ppm_mean,Pb207_ppm_2SE(int),Pb208_ppm_mean,Pb208_ppm_2SE(int),Th232_ppm_mean,Th232_ppm_2SE(int),U238_ppm_mean,U238_ppm_2SE(int)
093 - 17.d,0.105990039,0.001115738,1729.335631,19.49773712,4.865469002,0.075524768,9.76267063,2042.145768,205.3442656,824.9793797,,0,0,9,3,480000,0,478119,3102,0,0,1,0,0,0,0,0,1,0,0,0,5,1,33,3,188,5,41,1,6,39,427,6,755,14,1081,33,230,3,2259,34
093 - 18.d,0.058785466,0.000808447,555.1280255,29.58495199,11.60426724,0.086559467,4.217800982,1583.8678,370.2068756,733.6159258,,0,0,13,3,480000,0,479670,2685,0,0,1,0,0,0,1,0,1,1,0,0,8,2,43,3,140,4,28,1,-13,44,140,1,136,2,963,26,414,4,1764,12
093 - 19.d,0.067626664,0.00199089,842.8139458,62.04668893,10.52972037,0.29507311,6.2678794,3937.302274,635.5046947,1587.072225,,0,0,11,5,480000,0,478493,3059,0,0,4,1,0,0,3,1,2,1,1,0,10,2,42,3,203,16,50,6,163,76,407,7,460,19,2242,73,749,41,4683,165
093 - 20.d,0.115745611,0.000753664,1890.481233,11.66089267,3.437299872,0.053250293,7.681953724,1483.550176,190.3143779,1161.164498,,0,0,14,4,480000,0,479020,4308,0,0,1,0,0,0,0,0,1,1,0,0,8,1,37,3,177,7,39,2,46,61,375,6,722,12,1337,79,187,2,1453,15
093 - 21.d,0.056893211,0.001016471,483.2138118,38.5968053,11.81815065,0.066076519,5.136140333,2121.300662,406.8606989,794.7722265,,0,0,9,4,480000,0,478453,3975,0,0,2,0,0,0,1,0,2,1,0,0,7,1,31,3,122,7,23,1,18,63,162,4,153,4,928,43,411,7,2133,29
093 - 22.d,0.10501766,0.001355355,1711.722859,23.7303507,5.020478966,0.08715327,8.338898197,1533.13671,179.167568,629.2419521,,0,0,12,4,480000,0,477514,2437,0,0,1,0,0,0,0,0,1,0,0,0,3,1,17,2,79,4,17,1,-2,36,311,5,545,13,823,30,203,5,1699,20
093 - 23.d,0.116954902,0.002025386,1907.674942,31.12661263,3.565342724,0.078120253,8.92622899,930.4840824,102.763105,719.7807962,,0,0,9,7,480000,0,475418,2662,0,0,1,0,0,0,1,1,1,1,0,0,4,1,23,3,132,10,31,1,57,76,312,7,609,14,1062,50,131,3,1173,25
093 - 24.d,0.112092098,0.001126949,1831.568543,18.18918977,3.992791421,0.073009314,8.355173084,1082.315288,127.5553253,662.3446187,,0,0,14,5,480000,0,478618,2922,8,2,85,17,14,3,77,17,22,5,1,0,32,6,48,4,148,6,33,1,3,47,292,5,548,12,911,35,151,3,1272,27
093 - 25.d,0.05817356,0.000709814,532.85805,26.7382307,10.88073232,0.157351215,6.100647397,2117.251928,340.1058465,719.4475717,,0,0,13,5,480000,0,477900,2591,0,0,2,0,0,0,1,0,1,1,0,0,7,2,28,2,112,5,22,1,30,40,196,3,190,4,929,38,379,7,2317,20
093 - 26.d,0.057787814,0.000858701,517.0664924,32.71113875,10.90807405,0.118836653,5.963341935,2218.282635,365.0995686,794.9100413,,0,0,10,4,480000,0,479053,2693,0,0,2,0,0,0,0,0,0,0,0,0,6,1,28,2,114,5,22,1,7,42,206,3,200,4,1031,35,408,4,2452,20
093 - 27.d,0.10793406,0.000940803,1763.073346,15.93579404,4.623698992,0.100003132,11.00080477,1591.7528,143.3265742,846.9190829,,0,0,13,5,480000,0,478149,2348,0,0,6,1,1,0,6,2,4,1,1,0,6,2,23,2,195,12,49,3,78,46,400,9,724,20,1228,56,182,4,2011,35
093 - 28.d,0.058152516,0.000502358,533.291691,18.95625781,11.58470555,0.091615201,5.054677659,5968.819496,1160.779736,2533.493642,,0,0,11,3,480000,0,478807,2173,0,0,2,0,0,0,1,0,1,1,0,0,16,2,75,3,226,8,45,2,29,44,527,9,513,10,3279,90,1311,26,6646,77
